,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
111,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,alabamensis,Necturus_alabamensis,nocturnal,aquatic,paedomorphic,free-living,lotic water
112,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,beyeri,Necturus_beyeri,nocturnal,aquatic,paedomorphic,free-living,lotic water
113,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,lewisi,Necturus_lewisi,nocturnal,aquatic,paedomorphic,free-living,lotic water
114,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,maculosus,Necturus_maculosus,nocturnal,aquatic,paedomorphic,free-living,both
115,Caudata,Salamandroidea,Proteidae,Proteinae,Proteus,anguinus,Proteus_anguinus,nocturnal,aquatic,paedomorphic,free-living,lentic water
116,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,cascadae,Rhyacotriton_cascadae,NA,semiaquatic,metamorphosizing,free-living,lotic water
117,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,olympicus,Rhyacotriton_olympicus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
118,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,variegatus,Rhyacotriton_variegatus,NA,semiaquatic,metamorphosizing,free-living,lotic water
119,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Calotriton,asper,Calotriton_asper,nocturnal,semiaquatic,metamorphosizing,free-living,both
120,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Chioglossa,lusitanica,Chioglossa_lusitanica,nocturnal,terrestrial,metamorphosizing,free-living,lotic water
121,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,ensicauda,Cynops_ensicauda,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
122,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,pyrrhogaster,Cynops_pyrrhogaster,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
123,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,wolterstorffi,Cynops_wolterstorffi,NA,aquatic,metamorphosizing,free-living,lentic water
124,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Echinotriton,andersoni,Echinotriton_andersoni,NA,terrestrial,metamorphosizing,free-living,lentic water
125,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Euproctus,montanus,Euproctus_montanus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
126,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ichthyosaura,alpestris,Ichthyosaura_alpestris,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
127,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,boscai,Lissotriton_boscai,both,semiaquatic,metamorphosizing,free-living,both
128,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,helveticus,Lissotriton_helveticus,both,semiaquatic,metamorphosizing,free-living,lentic water
